date,title,url,description,region
20260712,缅因州的狂野一面,https://cn.bing.com/th?id=OHR.KatahdinWWNM_ZH-CN5496444375_UHD.jpg,卡塔丁森林和水域国家纪念地，缅因州，美国 (© Cavan Images/Offset/Shutterstock),zh-CN
20260711,布列塔尼的潮汐之约,https://cn.bing.com/th?id=OHR.AurayBrittany_ZH-CN5549157888_UHD.jpg,"圣古斯坦港, 欧赖, 布列塔尼, 法国 (© Rolf E. Staerk/Shutterstock)",zh-CN
20260710,陆地与海洋的鸟瞰图,https://cn.bing.com/th?id=OHR.VictoriaBeach_ZH-CN8892195426_UHD.jpg,陆地与海洋的鸟瞰图，维多利亚州，澳大利亚 (© Nearmap/Getty Images),zh-CN
20260709,步步传承,https://cn.bing.com/th?id=OHR.SapaVietnam_ZH-CN2178893672_UHD.jpg,在沙巴的水稻田，老街，越南 (© Anujak Jaimook/Getty Images),zh-CN
20260708,远古火山的回响,https://cn.bing.com/th?id=OHR.LakeAtitlan_ZH-CN1920221893_UHD.jpg,阿蒂特兰湖的日出，危地马拉 (© shayes17/Getty Images),zh-CN
20260707,林冠华彩,https://cn.bing.com/th?id=OHR.MountainToucanOrchids_ZH-CN1400221431_UHD.jpg,板嘴山巨嘴鸟与兰花，厄瓜多尔 (© Murray Cooper/Minden Pictures),zh-CN
20260706,百代镌刻之城,https://cn.bing.com/th?id=OHR.SyracuseItaly_ZH-CN1001695972_UHD.jpg,锡拉库萨的日落，西西里岛，意大利 (© Balate Dorin/Getty Images),zh-CN
20260705,紫色花海,https://cn.bing.com/th?id=OHR.LavenderRows_ZH-CN0676810895_UHD.jpg,瓦朗索勒高原的薰衣草行，普罗旺斯，法国 (© Robert Harding/Shutterstock),zh-CN
20260704,此行，不虚绕道,https://cn.bing.com/th?id=OHR.KaysersbergVillage_ZH-CN0445080679_UHD.jpg,凯泽斯堡，阿尔萨斯，法国 (© Federica Gentile/Getty Images),zh-CN
20260703,流光之诗,https://cn.bing.com/th?id=OHR.FirefliesJapan_ZH-CN0071253415_UHD.jpg,小溪上方的萤火虫，冈山县，日本 (© tdub303/Getty Images),zh-CN
20260702,走进埃斯纳神圣的世界,https://cn.bing.com/th?id=OHR.TempleEsna_ZH-CN9834689523_UHD.jpg,"埃斯纳神庙穹顶天花板, 埃及 (© Nick Brundle Photography/Getty Images)",zh-CN
20260701,大西洋雕琢而成的加拿大,https://cn.bing.com/th?id=OHR.DungeonPark_ZH-CN9544093701_UHD.jpg,"地牢省立公园, 纽芬兰和拉布拉多省, 加拿大 (© Kaitlyn McLachlan/Getty Images)",zh-CN
